trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
1,2019-10-09 20:55:00,25776.0,-1,5,25000.0,-1100.0,-1800.0,0.0,2019-10-09 20:58:00,25777.0,model_exit,4998900.0
2,2019-10-09 20:59:00,25779.0,-1,5,24994.5,-350.0,-800.0,200.0,2019-10-09 21:02:00,25775.0,model_exit,4998550.0
3,2019-10-09 21:03:00,25773.0,1,5,24992.75,-5350.0,-5350.0,200.0,2019-10-09 21:16:00,25765.0,model_exit,4993200.0
4,2019-10-09 21:17:00,25769.0,1,5,24966.0,1900.0,-50.0,2200.0,2019-10-09 21:31:00,25768.0,model_exit,4995100.0
5,2019-10-09 21:32:00,25770.0,-1,5,24975.5,-1100.0,-1100.0,0.0,2019-10-09 21:33:00,25764.0,model_exit,4994000.0
6,2019-10-09 21:34:00,25742.0,-1,5,24970.0,4400.0,0.0,5200.0,2019-10-09 21:36:00,25742.0,model_exit,4998400.0
7,2019-10-09 21:37:00,25738.0,-1,5,24992.0,-2100.0,-2100.0,700.0,2019-10-09 21:39:00,25756.0,model_exit,4996300.0
8,2019-10-09 21:40:00,25757.0,-1,5,24981.5,-1850.0,-1850.0,0.0,2019-10-09 21:42:00,25762.0,model_exit,4994450.0
9,2019-10-09 21:43:00,25751.0,-1,5,24972.25,3900.0,0.0,4200.0,2019-10-09 21:45:00,25752.0,model_exit,4998350.0
10,2019-10-09 21:46:00,25757.0,1,5,24991.75,650.0,0.0,3200.0,2019-10-09 21:49:00,25746.0,model_exit,4999000.0
11,2019-10-09 21:50:00,25743.0,1,5,24995.0,-1850.0,-5550.0,0.0,2019-10-09 22:01:00,25732.0,model_exit,4997150.0
12,2019-10-09 22:02:00,25736.0,-1,5,24985.75,-1600.0,-1600.0,0.0,2019-10-09 22:03:00,25742.0,model_exit,4995550.0
13,2019-10-09 22:04:00,25738.0,1,5,24977.75,400.0,-1300.0,3200.0,2019-10-09 22:14:00,25738.0,model_exit,4995950.0
14,2019-10-09 22:15:00,25734.0,1,5,24979.75,650.0,-1300.0,950.0,2019-10-09 22:18:00,25747.0,model_exit,4996600.0
15,2019-10-09 22:19:00,25754.0,1,5,24983.0,-850.0,-850.0,1450.0,2019-10-09 22:21:00,25750.0,model_exit,4995750.0
16,2019-10-09 22:22:00,25749.0,1,5,24978.75,-1100.0,-2550.0,700.0,2019-10-09 22:31:00,25748.0,model_exit,4994650.0
17,2019-10-09 22:32:00,25751.0,1,5,24973.25,-3100.0,-3100.0,450.0,2019-10-09 22:38:00,25737.0,model_exit,4991550.0
18,2019-10-09 22:39:00,25736.0,1,5,24957.75,2900.0,-550.0,3700.0,2019-10-09 22:47:00,25745.0,model_exit,4994450.0
19,2019-10-09 22:48:00,25747.0,-1,5,24972.25,-1100.0,-1100.0,0.0,2019-10-09 22:49:00,25752.0,model_exit,4993350.0
20,2019-10-09 22:50:00,25750.0,1,5,24966.75,650.0,-3300.0,950.0,2019-10-09 23:11:00,25750.0,model_exit,4994000.0
21,2019-10-09 23:12:00,25749.0,-1,5,24970.0,-350.0,-350.0,0.0,2019-10-09 23:13:00,25742.0,model_exit,4993650.0
22,2019-10-09 23:14:00,25746.0,-1,5,24968.25,-1600.0,-1600.0,0.0,2019-10-09 23:15:00,25751.0,model_exit,4992050.0
23,2019-10-09 23:16:00,25753.0,1,5,24960.25,3150.0,-1300.0,4200.0,2019-10-09 23:40:00,25763.0,model_exit,4995200.0
24,2019-10-09 23:41:00,25769.0,1,5,24976.0,1900.0,0.0,2700.0,2019-10-09 23:44:00,25772.0,model_exit,4997100.0
25,2019-10-09 23:45:00,25780.0,1,5,24985.5,1400.0,0.0,3450.0,2019-10-09 23:48:00,25780.0,model_exit,4998500.0
26,2019-10-09 23:49:00,25779.0,1,5,24992.5,-1600.0,-2050.0,200.0,2019-10-10 00:02:00,25779.0,model_exit,4996900.0
27,2019-10-10 00:03:00,25777.0,1,5,24984.5,400.0,-800.0,1950.0,2019-10-10 00:08:00,25781.0,model_exit,4997300.0
28,2019-10-10 00:09:00,25780.0,1,5,24986.5,-2100.0,-2300.0,0.0,2019-10-10 00:17:00,25774.0,model_exit,4995200.0
29,2019-10-10 00:18:00,25771.0,1,5,24976.0,1150.0,-2550.0,1450.0,2019-10-10 00:36:00,25778.0,model_exit,4996350.0
30,2019-10-10 00:37:00,25777.0,-1,5,24981.75,1150.0,-50.0,1450.0,2019-10-10 00:40:00,25771.0,model_exit,4997500.0
