trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
1,2019-11-20 09:17:00,26913.0,-1,5,25000.0,-3100.0,-3100.0,700.0,2019-11-20 09:19:00,26908.0,model_exit,4996900.0
2,2019-11-20 09:20:00,26883.0,-1,5,24984.5,5650.0,0.0,5950.0,2019-11-20 09:21:00,26838.0,model_exit,5002550.0
3,2019-11-20 09:22:00,26846.0,1,5,25012.75,400.0,-300.0,1700.0,2019-11-20 09:26:00,26853.0,model_exit,5002950.0
4,2019-11-20 09:29:00,26832.0,1,5,25014.75,1900.0,-50.0,2200.0,2019-11-20 09:31:00,26841.0,model_exit,5004850.0
5,2019-11-20 09:35:00,26874.0,-1,5,25024.25,2150.0,0.0,2450.0,2019-11-20 09:36:00,26854.0,model_exit,5007000.0
6,2019-11-20 09:37:00,26867.0,1,5,25035.0,1400.0,-1550.0,2950.0,2019-11-20 09:41:00,26884.0,model_exit,5008400.0
7,2019-11-20 09:44:00,26791.0,1,5,25042.0,-4600.0,-7550.0,0.0,2019-11-20 09:47:00,26828.0,model_exit,5003800.0
8,2019-11-20 09:50:00,26825.0,1,5,25019.0,-2350.0,-5550.0,0.0,2019-11-20 09:55:00,26824.0,model_exit,5001450.0
9,2019-11-20 10:01:00,26847.0,1,5,25007.25,-4600.0,-10050.0,0.0,2019-11-20 10:07:00,26849.0,model_exit,4996850.0
10,2019-11-20 10:11:00,26880.0,1,5,24984.25,8400.0,0.0,8700.0,2019-11-20 10:12:00,26876.0,model_exit,5005250.0
11,2019-11-20 10:14:00,26877.0,1,5,25026.25,-100.0,-6300.0,200.0,2019-11-20 10:20:00,26886.0,model_exit,5005150.0
12,2019-11-20 10:21:00,26895.0,1,5,25025.75,1150.0,0.0,1950.0,2019-11-20 10:23:00,26889.0,model_exit,5006300.0
13,2019-11-20 10:24:00,26877.0,1,5,25031.5,650.0,-5050.0,950.0,2019-11-20 10:27:00,26890.0,model_exit,5006950.0
14,2019-11-20 10:29:00,26908.0,1,5,25034.75,2900.0,0.0,3200.0,2019-11-20 10:30:00,26941.0,model_exit,5009850.0
15,2019-11-20 10:35:00,26932.0,1,5,25049.25,-12350.0,-19300.0,2950.0,2019-11-20 10:44:00,26886.0,model_exit,4997500.0
16,2019-11-20 10:50:00,26914.0,1,5,24987.5,150.0,0.0,450.0,2019-11-20 10:51:00,26913.0,model_exit,4997650.0
17,2019-11-20 10:55:00,26907.0,1,5,24988.25,4900.0,0.0,5200.0,2019-11-20 10:57:00,26909.0,model_exit,5002550.0
18,2019-11-20 10:58:00,26886.0,-1,5,25012.75,5150.0,0.0,5450.0,2019-11-20 10:59:00,26894.0,model_exit,5007700.0
19,2019-11-20 11:00:00,26892.0,1,5,25038.5,3900.0,-800.0,4200.0,2019-11-20 11:02:00,26916.0,model_exit,5011600.0
20,2019-11-20 11:05:00,26900.0,1,5,25058.0,900.0,-2800.0,1200.0,2019-11-20 11:07:00,26893.0,model_exit,5012500.0
21,2019-11-20 11:08:00,26908.0,-1,5,25062.5,-4350.0,-4350.0,0.0,2019-11-20 11:09:00,26895.0,model_exit,5008150.0
22,2019-11-20 11:10:00,26903.0,-1,5,25040.75,-2600.0,-2600.0,0.0,2019-11-20 11:11:00,26909.0,model_exit,5005550.0
23,2019-11-20 11:14:00,26889.0,1,5,25027.75,3900.0,-2300.0,4200.0,2019-11-20 11:23:00,26913.0,model_exit,5009450.0
24,2019-11-20 11:25:00,26917.0,1,5,25047.25,150.0,-4300.0,450.0,2019-11-20 13:02:00,26919.0,model_exit,5009600.0
25,2019-11-20 13:03:00,26914.0,1,5,25048.0,8650.0,-1550.0,8950.0,2019-11-20 13:06:00,26933.0,model_exit,5018250.0
26,2019-11-20 13:07:00,26940.0,-1,5,25091.25,-2350.0,-2350.0,0.0,2019-11-20 13:08:00,26918.0,model_exit,5015900.0
27,2019-11-20 13:09:00,26923.0,-1,5,25079.5,-1850.0,-1850.0,0.0,2019-11-20 13:10:00,26917.0,model_exit,5014050.0
28,2019-11-20 13:11:00,26917.0,1,5,25070.25,-2600.0,-8550.0,0.0,2019-11-20 13:45:00,26904.0,model_exit,5011450.0
29,2019-11-20 13:46:00,26910.0,1,5,25057.25,-6350.0,-12800.0,8450.0,2019-11-20 15:45:00,26880.0,model_exit,5005100.0
30,2019-11-20 15:47:00,26876.0,1,5,25025.5,2650.0,-5050.0,2950.0,2019-11-20 16:08:00,26884.0,model_exit,5007750.0
31,2019-11-20 16:10:00,26868.0,1,5,25038.75,-85850.0,-85850.0,0.0,2019-11-21 09:16:00,26586.0,stop_loss,4921900.0
32,2019-11-21 09:36:00,26404.0,1,5,24609.5,-25600.0,-25600.0,0.0,2019-11-21 09:43:00,26323.0,stop_loss,4896300.0
33,2019-11-21 10:05:00,26352.0,1,5,24481.5,10400.0,-1550.0,10700.0,2019-11-21 10:08:00,26377.0,model_exit,4906700.0
34,2019-11-21 10:10:00,26362.0,1,5,24533.5,2400.0,-6050.0,2700.0,2019-11-21 10:15:00,26367.0,model_exit,4909100.0
35,2019-11-21 10:16:00,26353.0,-1,5,24545.5,2900.0,0.0,3200.0,2019-11-21 10:17:00,26357.0,model_exit,4912000.0
36,2019-11-21 10:18:00,26350.0,1,5,24560.0,2400.0,-2050.0,2700.0,2019-11-21 10:20:00,26372.0,model_exit,4914400.0
37,2019-11-21 10:24:00,26436.0,1,5,24572.0,-1600.0,-5300.0,1950.0,2019-11-21 10:30:00,26455.0,model_exit,4912800.0
38,2019-11-21 10:31:00,26457.0,1,5,24564.0,-100.0,-100.0,200.0,2019-11-21 10:32:00,26471.0,model_exit,4912700.0
39,2019-11-21 10:35:00,26450.0,1,5,24563.5,3650.0,-3300.0,3950.0,2019-11-21 10:40:00,26454.0,model_exit,4916350.0
